id,nombre,apellido,email,genero,valor_tx,numero_identificacion,tipo_identificacion
1,Manfred,Ramsey,mramsey0@cdc.gov,Male,$573181.45,461966323,CC
2,Fifine,Scrinage,fscrinage1@liveinternet.ru,Female,$395008.35,82331269,PP
3,Julianna,Burnett,jburnett2@reverbnation.com,Female,$478757.23,658914413,CC
4,Shannon,Beining,sbeining3@bloglines.com,Male,$514962.39,465521415,PP
5,Lucho,Annandale,lannandale4@homestead.com,Male,$153135.36,99212199,CC
6,Gavan,Lonie,glonie5@sohu.com,Male,$946340.86,965759639,CC
7,Martino,O'Bradane,mobradane6@zdnet.com,Male,$877686.95,398043727,PP
8,Abelard,Seadon,aseadon7@simplemachines.org,Male,$381680.40,94102350,CC
9,Grier,Denisyev,gdenisyev8@buzzfeed.com,Female,$514760.48,932219560,CC
10,Toinette,Donhardt,tdonhardt9@163.com,Female,$728159.00,173228855,IT
11,Adriano,O'Dunneen,aodunneena@mediafire.com,Male,$430370.51,830406534,PP
12,Kari,Soldan,ksoldanb@java.com,Female,$584228.60,75047564,CC
13,Gerrie,Fathers,gfathersc@cargocollective.com,Female,$131258.59,327581386,PP
14,Hermia,Drinan,hdrinand@bloglines.com,Female,$496975.84,440245124,IT
15,Valentine,Rubinshtein,vrubinshteine@cloudflare.com,Female,$854410.84,44755392,CC
16,Johanna,Friedman,jfriedmanf@cornell.edu,Female,$178857.54,241369963,CC
17,Eal,Twist,etwistg@jalbum.net,Male,$549509.89,58116628,PP
18,Courtenay,Willimot,cwillimoth@telegraph.co.uk,Female,$883863.37,646246365,PP
19,Daniel,Blanchard,dblanchardi@ycombinator.com,Male,$604464.52,496077253,PP
20,Langston,Ciobutaru,lciobutaruj@dropbox.com,Male,$241262.06,140560316,CC
21,Patric,Bloxsom,pbloxsomk@guardian.co.uk,Male,$449076.49,791028242,CC
22,Yvonne,Cliff,ycliffl@nps.gov,Female,$358167.61,488891095,PP
23,Antoine,MacDiarmid,amacdiarmidm@bloglines.com,Male,$360022.06,265167466,PP
24,Merrile,Emms,memmsn@google.co.jp,Female,$412675.82,95829641,CC
25,Rasla,Duham,rduhamo@eventbrite.com,Female,$526002.09,655565913,PP
26,Kalvin,McQuade,kmcquadep@indiegogo.com,Male,$638057.18,413498328,IT
27,Alic,Fowlestone,afowlestoneq@google.de,Male,$511444.58,783400633,PP
